game_id,game_name,game_web,platform,wii,ps3,xbox360,critic_score,critic_score1,critic_score2,critic_score3,wii_score,ps3_score,xbox360_score,Check
605150,Disney Tangled: The Video Game,/wii/605150-disney-tangled-the-video-game,wii,1,0,0,63,63,,,63,,,1
605154,Star Raiders,/xbox360/605154-star-raiders,xbox360,0,1,1,35,,35,,,ESRB,35,1
605192,Red Faction: Battlegrounds,/ps3/605192-red-faction-battlegrounds,ps3,0,1,0,49,49,52,,,49,52,1
605238,Dood's Big Adventure,/wii/605238-doods-big-adventure,wii,1,0,0,56,56,,,56,,,1
605243,Bit.Trip Fate,/wii/605243-bittrip-fate,wii,1,0,0,75,75,,,75,,,1
605247,uDraw Studio,/wii/605247-udraw-studio,wii,1,0,0,71,71,,,71,,,1
605248,Pictionary,/wii/605248-pictionary,wii,1,0,0,71,71,,,71,,,1
605252,Virtua Tennis 4,/ps3/605252-virtua-tennis-4,ps3,1,1,0,69,65,69,70,65,69,70,1
605254,Ratchet & Clank: All 4 One,/ps3/605254-ratchet-and-clank-all-4-one,ps3,0,1,0,70,70,,,,70,,1
605257,Beat Sketcher,/ps3/605257-beat-sketcher,ps3,0,1,0,67,67,,,,67,,1
605266,Fighters Uncaged,/xbox360/605266-fighters-uncaged,xbox360,0,0,1,32,32,,,,,32,1
605273,Sine Mora,/ps3/605273-sine-mora,ps3,0,1,0,83,83,83,,,83,83,1
605302,Catherine,/ps3/605302-catherine,ps3,0,1,0,79,79,82,,,79,82,1
605304,Malicious,/ps3/605304-malicious,ps3,0,1,0,67,67,,,,67,,1
605345,Hoard,/ps3/605345-hoard,ps3,0,1,0,75,75,,,,75,,1
605365,DeathSpank: Thongs of Virtue,/ps3/605365-deathspank-thongs-of-virtue,ps3,0,1,0,78,78,78,,,78,78,1
605452,Dungeon Defenders,/ps3/605452-dungeon-defenders,ps3,0,1,0,80,80,77,,,80,77,1
605497,Tales of Elastic Boy - Mission 1,/wii/605497-tales-of-elastic-boy-mission-1,wii,1,0,0,56,56,,,56,,,1
605501,Pinball FX 2,/xbox360/605501-pinball-fx-2,xbox360,0,0,1,88,88,,,,,88,1
605506,Bangai-O HD: Missile Fury,/xbox360/605506-bangai-o-hd-missile-fury,xbox360,0,0,1,78,78,,,,,78,1
605579,Tokyo Jungle,/ps3/605579-tokyo-jungle,ps3,0,1,0,74,74,,,,74,,1
605586,MotoHeroz,/wii/605586-motoheroz,wii,1,0,0,82,82,,,82,,,1
605593,FAST - Racing League,/wii/605593-fast-racing-league,wii,1,0,0,73,73,,,73,,,1
605598,Bloody Good Time,/xbox360/605598-bloody-good-time,xbox360,0,0,1,55,55,,,,,55,1
605601,DmC: Devil May Cry,/xbox360/605601-dmc-devil-may-cry,xbox360,0,1,1,86,86,85,,,85,86,1
