game_id,game_name,genre1,genre2,genre3,genre4,genre_wide,genre_narrow,release_day,release_month,release_year
932952,Disney's Chicken Little: Ace in Action,Action,Shooter,Third-Person,Arcade,action,action-shooter,11,12,2006
933005,Elebits,Action,General,,,action,action-general,12,12,2006
934754,Far Cry Vengeance,Action,Shooter,First-Person,Arcade,action,action-shooter,12,12,2006
935658,Ms. Pac-Man,Action,Arcade,,,action,action-arcade,10,1,2007
933065,Heavy Weapon: Atomic Tank,Action,Shooter,Shoot-'Em-Up,Vertical,action,action-shooter,17,1,2007
932213,Root Beer Tapper,Action,General,,,action,action-general,7,2,2007
932212,Paperboy,Action,Arcade,,,action,action-arcade,14,2,2007
932831,Virtua Fighter 5,Action,Fighting,3D,,action,action-fighting,20,2,2007
932811,Sonic and the Secret Rings,Action,Platformer,3D,,action,action-platformer,20,2,2007
938375,Q*bert,Action,Arcade,,,action,action-arcade,22,2,2007
937212,Samurai Warriors 2 Empires,Action,Beat-'Em-Up,3D,,action,action-beatemup,27,2,2007
931220,Bullet Witch,Action,Shooter,Third-Person,Arcade,action,action-shooter,27,2,2007
932935,Dance Dance Revolution Universe,Action,Rhythm,Dancing,,action,action-rhythm,27,2,2007
934459,Alien Hominid HD,Action,Shooter,Shoot-'Em-Up,Horizontal,action,action-shooter,28,2,2007
937271,Tekken 5: Dark Resurrection,Action,Fighting,3D,,action,action-fighting,1,3,2007
937003,Tom Clancy's Ghost Recon Advanced Warfighter 2,Action,Shooter,First-Person,Tactical,action,action-shooter,6,3,2007
929467,Def Jam: Icon,Action,Fighting,3D,,action,action-fighting,6,3,2007
934472,TMNT,Action,Beat-'Em-Up,2D,,action,action-beatemup,20,3,2007
929255,Earth Defense Force 2017,Action,Shooter,Third-Person,Arcade,action,action-shooter,20,3,2007
937395,Medal of Honor: Vanguard,Action,Shooter,First-Person,Arcade,action,action-shooter,26,3,2007
935834,Guitar Hero II,Action,Rhythm,Music,,action,action-rhythm,3,4,2007
933012,Super Paper Mario,Action,Platformer,3D,,action,action-platformer,9,4,2007
937889,Boom Boom Rocket,Action,Rhythm,Music,,action,action-rhythm,11,4,2007
937627,Mortal Kombat II,Action,Fighting,2D,,action,action-fighting,12,4,2007
935656,Gyruss,Action,Shooter,Shoot-'Em-Up,Top-Down,action,action-shooter,18,4,2007
935058,F.E.A.R.,Action,Shooter,First-Person,Arcade,action,action-shooter,24,4,2007
936694,Pinball FX,Action,Pinball,,,action,action-pinball,25,4,2007
938057,Eets: Chowdown,Action,Platformer,2D,,action,action-platformer,25,4,2007
937327,Legend of the Dragon,Action,Fighting,3D,,action,action-fighting,1,5,2007
937628,Gauntlet II,Action,General,,,action,action-general,3,5,2007
938006,Double Dragon,Action,Beat-'Em-Up,2D,,action,action-beatemup,9,5,2007
935725,DreamWorks Shrek the Third,Action,General,,,action,action-general,15,5,2007
936477,Shrek the Third,Action,General,,,action,action-general,15,5,2007
939472,Aegis Wing,Action,Shooter,Shoot-'Em-Up,Horizontal,action,action-shooter,16,5,2007
937630,Rampage World Tour,Action,General,,,action,action-general,17,5,2007
935659,Rush'n Attack,Action,Platformer,2D,,action,action-platformer,23,5,2007
939646,Xevious,Action,Shooter,Shoot-'Em-Up,Vertical,action,action-shooter,23,5,2007
934714,Mortal Kombat: Armageddon,Action,Fighting,3D,,action,action-fighting,29,5,2007
929196,Shadowrun,Action,Shooter,First-Person,Arcade,action,action-shooter,29,5,2007
939871,Pac-Man Championship Edition,Action,Arcade,,,action,action-arcade,6,6,2007
938524,Call of Juarez,Action,Shooter,First-Person,Arcade,action,action-shooter,7,6,2007
928851,Monster Madness: Battle for Suburbia,Action,Shooter,Shoot-'Em-Up,Vertical,action,action-shooter,12,6,2007
938093,Fantastic Four: Rise of the Silver Surfer,Action,General,,,action,action-general,15,6,2007
938000,Hour of Victory,Action,Shooter,First-Person,Arcade,action,action-shooter,25,6,2007
927013,The Darkness,Action,Shooter,First-Person,Arcade,action,action-shooter,25,6,2007
939277,Super Stardust HD,Action,Shooter,Shoot-'Em-Up,Top-Down,action,action-shooter,28,6,2007
936564,Missile Command,Action,Shooter,Shoot-'Em-Up,Top-Down,action,action-shooter,4,7,2007
939137,Chicken Shoot,Action,Shooter,Light Gun,,action,action-shooter,5,7,2007
933063,Sonic the Hedgehog (Live Arcade),Action,Platformer,2D,,action,action-platformer,11,7,2007
935655,Yie Ar Kung-Fu,Action,Fighting,2D,,action,action-fighting,18,7,2007
938445,Wing Commander Arena,Action,Shooter,Third-Person,Arcade,action,action-shooter,25,7,2007
933055,Super Contra,Action,Platformer,2D,,action,action-platformer,25,7,2007
940050,Nucleus,Action,Shooter,Shoot-'Em-Up,Top-Down,action,action-shooter,31,7,2007
941993,Marathon: Durandal,Action,Shooter,First-Person,Arcade,action,action-shooter,1,8,2007
938735,Boogie,Action,Rhythm,Music,,action,action-rhythm,7,8,2007
942661,Ecco the Dolphin,Action,Platformer,2D,,action,action-platformer,15,8,2007
938955,Space Giraffe,Action,Shooter,Shoot-'Em-Up,Top-Down,action,action-shooter,22,8,2007
928517,Metroid Prime 3: Corruption,Action,Shooter,First-Person,Arcade,action,action-shooter,27,8,2007
937424,Dynasty Warriors: Gundam,Action,Beat-'Em-Up,3D,,action,action-beatemup,28,8,2007
929230,Lair,Action,General,,,action,action-general,30,8,2007
931482,Medal of Honor: Airborne,Action,Shooter,First-Person,Arcade,action,action-shooter,4,9,2007
935217,Fatal Fury Special,Action,Fighting,2D,,action,action-fighting,5,9,2007
928391,Heavenly Sword,Action,Beat-'Em-Up,3D,,action,action-beatemup,12,9,2007
939310,Warriors Orochi,Action,Beat-'Em-Up,3D,,action,action-beatemup,18,9,2007
938517,Anubis II,Action,Platformer,3D,,action,action-platformer,18,9,2007
941527,Dragon Blade: Wrath of Fire,Action,Beat-'Em-Up,2D,,action,action-beatemup,25,9,2007
938142,Dewy's Adventure,Action,Platformer,3D,,action,action-platformer,25,9,2007
938140,Dance Dance Revolution Hottest Party,Action,Rhythm,Dancing,,action,action-rhythm,25,9,2007
926632,Halo 3,Action,Shooter,First-Person,Arcade,action,action-shooter,25,9,2007
938506,Ninjabread Man,Action,Platformer,3D,,action,action-platformer,1,10,2007
939524,Spider-Man: Friend or Foe,Action,General,,,action,action-general,2,10,2007
942853,Counter Force,Action,Shooter,Rail,,action,action-shooter,3,10,2007
939007,Crash of the Titans,Action,General,,,action,action-general,4,10,2007
937971,Looney Tunes: Acme Arsenal,Action,Platformer,3D,,action,action-platformer,9,10,2007
934034,Bleach: Shattered Blade,Action,Fighting,3D,,action,action-fighting,9,10,2007
938518,Rock 'N' Roll Adventures,Action,Platformer,3D,,action,action-platformer,11,10,2007
942051,Everyday Shooter,Action,Shooter,Shoot-'Em-Up,Top-Down,action,action-shooter,11,10,2007
938546,Every Extend Extra Extreme,Action,Shooter,Shoot-'Em-Up,Top-Down,action,action-shooter,17,10,2007
941699,The Legend of Spyro: The Eternal Night,Action,Platformer,3D,,action,action-platformer,18,10,2007
939329,EA Playground,Action,General,,,action,action-general,22,10,2007
942926,Dancing with the Stars,Action,Rhythm,Dancing,,action,action-rhythm,23,10,2007
938635,Naruto: Clash of Ninja Revolution,Action,Fighting,3D,,action,action-fighting,23,10,2007
932369,Ratchet & Clank Future: Tools of Destruction,Action,Platformer,3D,,action,action-platformer,23,10,2007
936569,Disney/Pixar Ratatouille,Action,Platformer,3D,,action,action-platformer,23,10,2007
